entry_time,exit_time,entry_price,exit_price,side,pnl_pct
2022-07-01 00:00:00+00:00,2022-07-02 00:00:00+00:00,19963.76486,19213.441170000002,1,-0.0375842780788993
2023-02-23 00:00:00+00:00,2023-02-24 00:00:00+00:00,24204.63139,23598.76929,1,-0.025030833572219024
2023-03-11 00:00:00+00:00,2023-03-12 00:00:00+00:00,20238.85729,22141.98975,1,0.09403359254577759
2023-03-15 00:00:00+00:00,2023-03-16 00:00:00+00:00,24736.07262,25071.237589999997,-1,-0.013368505196316383
2023-07-07 00:00:00+00:00,2023-07-08 00:00:00+00:00,29886.76461,30315.506009999997,-1,-0.01414264369720808
2023-08-23 00:00:00+00:00,2023-08-24 00:00:00+00:00,26058.728349999998,26141.688,1,0.0031835647881874873
2023-09-14 00:00:00+00:00,2023-09-15 00:00:00+00:00,26212.83816,26851.783099999997,-1,-0.023795251794656358
2024-04-08 00:00:00+00:00,2024-04-08 00:00:00+00:00,69337.4298,70349.20999999999,-1,-0.014382253901642827
2024-10-08 00:00:00+00:00,2024-10-09 00:00:00+00:00,62177.545229999996,60600.3906,-1,0.0260254862119651
2024-10-24 00:00:00+00:00,2024-10-25 00:00:00+00:00,66677.14134999999,66405.68346,1,-0.00407122867753229
2024-11-04 00:00:00+00:00,2024-11-04 00:00:00+00:00,68796.82409,67436.46140999999,1,-0.019773626151991852
