entry_time,exit_time,entry_price,exit_price,side,pnl_pct
2015-05-23 00:00:00+00:00,2015-05-24 00:00:00+00:00,237.485093985,241.00593614499996,-1,-0.014608943731085788
2015-10-15 00:00:00+00:00,2015-10-17 00:00:00+00:00,254.1778,260.787410937,1,0.026003887581842466
2015-10-17 00:00:00+00:00,2015-10-17 00:00:00+00:00,260.787410937,268.695605355,-1,-0.029431796651648634
2015-12-03 00:00:00+00:00,2015-12-06 00:00:00+00:00,359.711622,387.38344164,1,0.0769277886717823
2016-03-11 00:00:00+00:00,2016-03-14 00:00:00+00:00,416.20844999999997,413.90453049999996,-1,0.005566306551940459
2017-09-11 00:00:00+00:00,2017-09-12 00:00:00+00:00,4290.301109999999,4148.5939499999995,1,-0.033029653715843765
2018-10-25 00:00:00+00:00,2018-10-26 00:00:00+00:00,6409.5102,6424.193789999999,-1,-0.0022856704638730685
2020-07-06 00:00:00+00:00,2020-07-09 00:00:00+00:00,9090.15866,9231.13368,1,0.015508532389026719
2020-12-10 00:00:00+00:00,2020-12-11 00:00:00+00:00,18561.38388,17898.56223,1,-0.035709710778310866
2021-02-23 00:00:00+00:00,2021-02-23 00:00:00+00:00,54165.889599999995,44970.4986,1,-0.16976350001643836
2021-03-17 00:00:00+00:00,2021-03-19 00:00:00+00:00,56930.923769999994,56967.0951,1,0.0006353547001298754
2021-05-04 00:00:00+00:00,2021-05-05 00:00:00+00:00,57153.36462,57254.450079999995,-1,-0.0017655476536539982
2023-08-08 00:00:00+00:00,2023-08-10 00:00:00+00:00,29199.4253,29352.239039999997,1,0.005233450262461137
2024-10-08 00:00:00+00:00,2024-10-11 00:00:00+00:00,62177.545229999996,61280.26618,-1,0.014642218546577324
